c_norm,c_norm_lag1,c_norm_lag2,c_norm_lag3,c_norm_lag4,c_norm_lag5,US_ex
0.2422787107,0.2481227143,0.4214500039,0.4635071711,0.4276066405,0.3047155295,1.3066149693
0.2739746196,0.2422787107,0.2481227143,0.4214500039,0.4635071711,0.4276066405,1.3071760195
0.3025842008,0.2739746196,0.2422787107,0.2481227143,0.4214500039,0.4635071711,1.3077880518
0.378407543,0.3025842008,0.2739746196,0.2422787107,0.2481227143,0.4214500039,1.3083787823
0.3703769019,0.378407543,0.3025842008,0.2739746196,0.2422787107,0.2481227143,1.308955381
0.3704278507,0.3703769019,0.378407543,0.3025842008,0.2739746196,0.2422787107,1.3095146862
0.1988029663,0.3704278507,0.3703769019,0.378407543,0.3025842008,0.2739746196,1.3100545794
0.1203558281,0.1988029663,0.3704278507,0.3703769019,0.378407543,0.3025842008,1.3104855272
0.1810566294,0.1203558281,0.1988029663,0.3704278507,0.3703769019,0.378407543,1.3108378331
0.2400487107,0.1810566294,0.1203558281,0.1988029663,0.3704278507,0.3703769019,1.3111626989
0.2707681312,0.2400487107,0.1810566294,0.1203558281,0.1988029663,0.3704278507,1.3114434489
0.2674317894,0.2707681312,0.2400487107,0.1810566294,0.1203558281,0.1988029663,1.3116744144
0.3641162591,0.2674317894,0.2707681312,0.2400487107,0.1810566294,0.1203558281,1.3118626532
0.30558633,0.3641162591,0.2674317894,0.2707681312,0.2400487107,0.1810566294,1.3120147069
0.2999369469,0.30558633,0.3641162591,0.2674317894,0.2707681312,0.2400487107,1.3122035194
0.3027786574,0.2999369469,0.30558633,0.3641162591,0.2674317894,0.2707681312,1.3124331751
0.34361347,0.3027786574,0.2999369469,0.30558633,0.3641162591,0.2674317894,1.3127215484
0.4933952008,0.34361347,0.3027786574,0.2999369469,0.30558633,0.3641162591,1.313076425
0.3877978932,0.4933952008,0.34361347,0.3027786574,0.2999369469,0.30558633,1.3135391033
0.3804243606,0.3877978932,0.4933952008,0.34361347,0.3027786574,0.2999369469,1.3140844666
0.3339727572,0.3804243606,0.3877978932,0.4933952008,0.34361347,0.3027786574,1.3146915824
0.543188557,0.3339727572,0.3804243606,0.3877978932,0.4933952008,0.34361347,1.3153348868
0.4978887138,0.543188557,0.3339727572,0.3804243606,0.3877978932,0.4933952008,1.3159931135
0.3992854127,0.4978887138,0.543188557,0.3339727572,0.3804243606,0.3877978932,1.3166708929
0.345624927,0.3992854127,0.4978887138,0.543188557,0.3339727572,0.3804243606,1.3174112016
0.3899428968,0.345624927,0.3992854127,0.4978887138,0.543188557,0.3339727572,1.3181383497
0.3838205473,0.3899428968,0.345624927,0.3992854127,0.4978887138,0.543188557,1.3188479627
0.2530749958,0.3838205473,0.3899428968,0.345624927,0.3992854127,0.4978887138,1.3195359213
0.2323049409,0.2530749958,0.3838205473,0.3899428968,0.345624927,0.3992854127,1.3202334803
0.2398593241,0.2323049409,0.2530749958,0.3838205473,0.3899428968,0.345624927,1.3209526753
0.286954058,0.2398593241,0.2323049409,0.2530749958,0.3838205473,0.3899428968,1.3216564021
