c_norm,c_norm_lag1,c_norm_lag2,c_norm_lag3,c_norm_lag4,c_norm_lag5
0.2690624943,0.259585134,0.2952143686,0.1966637043,0.2846725299,0.2577401153
0.3172309456,0.2690624943,0.259585134,0.2952143686,0.1966637043,0.2846725299
0.2650316779,0.3172309456,0.2690624943,0.259585134,0.2952143686,0.1966637043
0.2211556483,0.2650316779,0.3172309456,0.2690624943,0.259585134,0.2952143686
0.2631956771,0.2211556483,0.2650316779,0.3172309456,0.2690624943,0.259585134
0.2154155384,0.2631956771,0.2211556483,0.2650316779,0.3172309456,0.2690624943
0.1875820672,0.2154155384,0.2631956771,0.2211556483,0.2650316779,0.3172309456
0.2184124029,0.1875820672,0.2154155384,0.2631956771,0.2211556483,0.2650316779
0.1984810574,0.2184124029,0.1875820672,0.2154155384,0.2631956771,0.2211556483
0.1780807394,0.1984810574,0.2184124029,0.1875820672,0.2154155384,0.2631956771
0.1767725695,0.1780807394,0.1984810574,0.2184124029,0.1875820672,0.2154155384
0.2041157109,0.1767725695,0.1780807394,0.1984810574,0.2184124029,0.1875820672
0.3903636465,0.2041157109,0.1767725695,0.1780807394,0.1984810574,0.2184124029
0.2424908969,0.3903636465,0.2041157109,0.1767725695,0.1780807394,0.1984810574
0.2153925256,0.2424908969,0.3903636465,0.2041157109,0.1767725695,0.1780807394
0.2353506806,0.2153925256,0.2424908969,0.3903636465,0.2041157109,0.1767725695
0.2885965838,0.2353506806,0.2153925256,0.2424908969,0.3903636465,0.2041157109
0.2598342647,0.2885965838,0.2353506806,0.2153925256,0.2424908969,0.3903636465
0.2432597093,0.2598342647,0.2885965838,0.2353506806,0.2153925256,0.2424908969
0.4257543898,0.2432597093,0.2598342647,0.2885965838,0.2353506806,0.2153925256
0.2954248323,0.4257543898,0.2432597093,0.2598342647,0.2885965838,0.2353506806
0.2938833839,0.2954248323,0.4257543898,0.2432597093,0.2598342647,0.2885965838
0.2656705663,0.2938833839,0.2954248323,0.4257543898,0.2432597093,0.2598342647
0.2334142128,0.2656705663,0.2938833839,0.2954248323,0.4257543898,0.2432597093
0.2284337396,0.2334142128,0.2656705663,0.2938833839,0.2954248323,0.4257543898
0.3411600707,0.2284337396,0.2334142128,0.2656705663,0.2938833839,0.2954248323
0.2427262318,0.3411600707,0.2284337396,0.2334142128,0.2656705663,0.2938833839
0.2318348284,0.2427262318,0.3411600707,0.2284337396,0.2334142128,0.2656705663
0.2982429239,0.2318348284,0.2427262318,0.3411600707,0.2284337396,0.2334142128
0.2957668117,0.2982429239,0.2318348284,0.2427262318,0.3411600707,0.2284337396
0.2954924152,0.2957668117,0.2982429239,0.2318348284,0.2427262318,0.3411600707
0.335463321,0.2954924152,0.2957668117,0.2982429239,0.2318348284,0.2427262318
0.256523904,0.335463321,0.2954924152,0.2957668117,0.2982429239,0.2318348284
0.2860913628,0.256523904,0.335463321,0.2954924152,0.2957668117,0.2982429239
0.3072269323,0.2860913628,0.256523904,0.335463321,0.2954924152,0.2957668117
0.3735068803,0.3072269323,0.2860913628,0.256523904,0.335463321,0.2954924152
0.3758810929,0.3735068803,0.3072269323,0.2860913628,0.256523904,0.335463321
0.3670991897,0.3758810929,0.3735068803,0.3072269323,0.2860913628,0.256523904
0.33547396,0.3670991897,0.3758810929,0.3735068803,0.3072269323,0.2860913628
0.4548922234,0.33547396,0.3670991897,0.3758810929,0.3735068803,0.3072269323
0.4879281949,0.4548922234,0.33547396,0.3670991897,0.3758810929,0.3735068803
0.2652805339,0.4879281949,0.4548922234,0.33547396,0.3670991897,0.3758810929
0.2827108254,0.2652805339,0.4879281949,0.4548922234,0.33547396,0.3670991897
0.3614716281,0.2827108254,0.2652805339,0.4879281949,0.4548922234,0.33547396
0.4927944113,0.3614716281,0.2827108254,0.2652805339,0.4879281949,0.4548922234
0.4338517909,0.4927944113,0.3614716281,0.2827108254,0.2652805339,0.4879281949
0.7118184465,0.4338517909,0.4927944113,0.3614716281,0.2827108254,0.2652805339
1,0.7118184465,0.4338517909,0.4927944113,0.3614716281,0.2827108254
0.4642087869,1,0.7118184465,0.4338517909,0.4927944113,0.3614716281
0.3467919458,0.4642087869,1,0.7118184465,0.4338517909,0.4927944113
0.3154062355,0.3467919458,0.4642087869,1,0.7118184465,0.4338517909
0.3112252047,0.3154062355,0.3467919458,0.4642087869,1,0.7118184465
0.2660401973,0.3112252047,0.3154062355,0.3467919458,0.4642087869,1
0.228533935,0.2660401973,0.3112252047,0.3154062355,0.3467919458,0.4642087869
0.2810945747,0.228533935,0.2660401973,0.3112252047,0.3154062355,0.3467919458
0.2947186814,0.2810945747,0.228533935,0.2660401973,0.3112252047,0.3154062355
0.3602845477,0.2947186814,0.2810945747,0.228533935,0.2660401973,0.3112252047
0.3575737326,0.3602845477,0.2947186814,0.2810945747,0.228533935,0.2660401973
0.3093295067,0.3575737326,0.3602845477,0.2947186814,0.2810945747,0.228533935
0.2130042466,0.3093295067,0.3575737326,0.3602845477,0.2947186814,0.2810945747
0.2521391032,0.2130042466,0.3093295067,0.3575737326,0.3602845477,0.2947186814
0.2969533133,0.2521391032,0.2130042466,0.3093295067,0.3575737326,0.3602845477
0.4676113594,0.2969533133,0.2521391032,0.2130042466,0.3093295067,0.3575737326
0.3763984638,0.4676113594,0.2969533133,0.2521391032,0.2130042466,0.3093295067
0.3809446922,0.3763984638,0.4676113594,0.2969533133,0.2521391032,0.2130042466
0.2174896936,0.3809446922,0.3763984638,0.4676113594,0.2969533133,0.2521391032
0.3819018865,0.2174896936,0.3809446922,0.3763984638,0.4676113594,0.2969533133
0.3570778104,0.3819018865,0.2174896936,0.3809446922,0.3763984638,0.4676113594
0.305782709,0.3570778104,0.3819018865,0.2174896936,0.3809446922,0.3763984638
0.2580349533,0.305782709,0.3570778104,0.3819018865,0.2174896936,0.3809446922
0.508268586,0.2580349533,0.305782709,0.3570778104,0.3819018865,0.2174896936
0.3860644744,0.508268586,0.2580349533,0.305782709,0.3570778104,0.3819018865
0.3876511424,0.3860644744,0.508268586,0.2580349533,0.305782709,0.3570778104
0.3084246119,0.3876511424,0.3860644744,0.508268586,0.2580349533,0.305782709
0.2954767671,0.3084246119,0.3876511424,0.3860644744,0.508268586,0.2580349533
0.2603759455,0.2954767671,0.3084246119,0.3876511424,0.3860644744,0.508268586
0.3017689345,0.2603759455,0.2954767671,0.3084246119,0.3876511424,0.3860644744
0.2903722088,0.3017689345,0.2603759455,0.2954767671,0.3084246119,0.3876511424
0.4696639809,0.2903722088,0.3017689345,0.2603759455,0.2954767671,0.3084246119
0.3597282384,0.4696639809,0.2903722088,0.3017689345,0.2603759455,0.2954767671
0.2877240058,0.3597282384,0.4696639809,0.2903722088,0.3017689345,0.2603759455
0.3301772276,0.2877240058,0.3597282384,0.4696639809,0.2903722088,0.3017689345
0.2528268497,0.3301772276,0.2877240058,0.3597282384,0.4696639809,0.2903722088
0.2585180262,0.2528268497,0.3301772276,0.2877240058,0.3597282384,0.4696639809
0.1992053165,0.2585180262,0.2528268497,0.3301772276,0.2877240058,0.3597282384
0.2507790672,0.1992053165,0.2585180262,0.2528268497,0.3301772276,0.2877240058
0.4310342409,0.2507790672,0.1992053165,0.2585180262,0.2528268497,0.3301772276
0.3581266853,0.4310342409,0.2507790672,0.1992053165,0.2585180262,0.2528268497
0.3997301959,0.3581266853,0.4310342409,0.2507790672,0.1992053165,0.2585180262
0.2960331672,0.3997301959,0.3581266853,0.4310342409,0.2507790672,0.1992053165
0.2859512641,0.2960331672,0.3997301959,0.3581266853,0.4310342409,0.2507790672
0.3462904844,0.2859512641,0.2960331672,0.3997301959,0.3581266853,0.4310342409
0.2051624924,0.3462904844,0.2859512641,0.2960331672,0.3997301959,0.3581266853
0.3843592825,0.2051624924,0.3462904844,0.2859512641,0.2960331672,0.3997301959
0.2518084603,0.3843592825,0.2051624924,0.3462904844,0.2859512641,0.2960331672
0.1884771847,0.2518084603,0.3843592825,0.2051624924,0.3462904844,0.2859512641
0.2020572877,0.1884771847,0.2518084603,0.3843592825,0.2051624924,0.3462904844
0.2166331008,0.2020572877,0.1884771847,0.2518084603,0.3843592825,0.2051624924
0.2046118274,0.2166331008,0.2020572877,0.1884771847,0.2518084603,0.3843592825
0.2624138995,0.2046118274,0.2166331008,0.2020572877,0.1884771847,0.2518084603
0.2279330185,0.2624138995,0.2046118274,0.2166331008,0.2020572877,0.1884771847
0.3674115953,0.2279330185,0.2624138995,0.2046118274,0.2166331008,0.2020572877
0.2741351242,0.3674115953,0.2279330185,0.2624138995,0.2046118274,0.2166331008
0.2352498,0.2741351242,0.3674115953,0.2279330185,0.2624138995,0.2046118274
0.2237043386,0.2352498,0.2741351242,0.3674115953,0.2279330185,0.2624138995
0.1772334771,0.2237043386,0.2352498,0.2741351242,0.3674115953,0.2279330185
0.3115293568,0.1772334771,0.2237043386,0.2352498,0.2741351242,0.3674115953
0.2102809977,0.3115293568,0.1772334771,0.2237043386,0.2352498,0.2741351242
0.2638395039,0.2102809977,0.3115293568,0.1772334771,0.2237043386,0.2352498
0.2571873432,0.2638395039,0.2102809977,0.3115293568,0.1772334771,0.2237043386
0.2969460768,0.2571873432,0.2638395039,0.2102809977,0.3115293568,0.1772334771
0.2128698717,0.2969460768,0.2571873432,0.2638395039,0.2102809977,0.3115293568
0.2119935811,0.2128698717,0.2969460768,0.2571873432,0.2638395039,0.2102809977
0.2175947404,0.2119935811,0.2128698717,0.2969460768,0.2571873432,0.2638395039
0.3224596755,0.2175947404,0.2119935811,0.2128698717,0.2969460768,0.2571873432
0.2955359827,0.3224596755,0.2175947404,0.2119935811,0.2128698717,0.2969460768
0.3165960899,0.2955359827,0.3224596755,0.2175947404,0.2119935811,0.2128698717
0.3092614897,0.3165960899,0.2955359827,0.3224596755,0.2175947404,0.2119935811
0.1728363227,0.3092614897,0.3165960899,0.2955359827,0.3224596755,0.2175947404
0.1978586905,0.1728363227,0.3092614897,0.3165960899,0.2955359827,0.3224596755
0.1656829186,0.1978586905,0.1728363227,0.3092614897,0.3165960899,0.2955359827
0.2532814934,0.1656829186,0.1978586905,0.1728363227,0.3092614897,0.3165960899
0.2528328086,0.2532814934,0.1656829186,0.1978586905,0.1728363227,0.3092614897
0.2687854371,0.2528328086,0.2532814934,0.1656829186,0.1978586905,0.1728363227
0.2067787123,0.2687854371,0.2528328086,0.2532814934,0.1656829186,0.1978586905
0.2570010008,0.2067787123,0.2687854371,0.2528328086,0.2532814934,0.1656829186
0.2269607598,0.2570010008,0.2067787123,0.2687854371,0.2528328086,0.2532814934
0.1277865125,0.2269607598,0.2570010008,0.2067787123,0.2687854371,0.2528328086
0.2479857163,0.1277865125,0.2269607598,0.2570010008,0.2067787123,0.2687854371
0.3453639389,0.2479857163,0.1277865125,0.2269607598,0.2570010008,0.2067787123
