S_Log_All_Crisis_Yes,S_Log_Exchange,Date,greece
6.330294,0.3253431,20070927,12.855656826
6.339984,0.3265955,20070928,11.0618442456
6.333849,0.327864,20070929,10.1649379554
6.312726,0.3291398,20070930,11.9587505358
6.285065,0.3303622,20071001,13.9020474979
6.271692,0.3315095,20071002,12.4072036809
6.264345,0.3325794,20071003,12.2577192992
6.262533,0.3335944,20071004,12.5566880626
6.266835,0.3345546,20071005,12.2577192992
6.267157,0.3354611,20071006,10.1649379554
6.266993,0.3363148,20071007,12.1082349175
6.272806,0.3370734,20071008,12.4072036809
6.28116,0.3377933,20071009,13.3041099711
6.289885,0.3385248,20071010,12.5566880626
6.300986,0.3392161,20071011,12.2577192992
6.311168,0.3398679,20071012,11.6597817724
6.311519,0.3404811,20071013,11.0618442456
6.309846,0.3410909,20071014,11.9587505358
6.311227,0.3416558,20071015,13.9020474979
6.307927,0.342209,20071016,12.2577192992
6.308401,0.3428054,20071017,14.9484381698
6.313591,0.3434114,20071018,11.8092661541
6.322892,0.3440189,20071019,11.5102973907
6.3296,0.3446216,20071020,10.6133911005
6.335521,0.3451264,20071021,10.6133911005
6.342615,0.3456244,20071022,11.6597817724
6.352101,0.3461041,20071023,11.6597817724
6.36543,0.3466076,20071024,11.6597817724
6.378827,0.3471889,20071025,11.2113286273
6.388409,0.3478273,20071026,9.7164848104
6.395146,0.3485056,20071027,9.2680316653
6.397079,0.3492199,20071028,10.9123598639
6.401494,0.3499694,20071029,12.1082349175
6.409662,0.3507704,20071030,11.2113286273
6.42411,0.3515821,20071031,12.4072036809
6.438654,0.3524263,20071101,11.0618442456
6.45406,0.3532884,20071102,10.7628754822
6.467694,0.3541563,20071103,9.417516047
6.481733,0.355012,20071104,10.4639067188
6.499818,0.3559085,20071105,11.6597817724
6.523753,0.3569057,20071106,11.0618442456
6.54215,0.3579909,20071107,11.360813009
6.5603,0.3591188,20071108,10.3144223371
6.581154,0.3602699,20071109,10.6133911005
6.598737,0.3614285,20071110,8.5206097568
6.611714,0.3625814,20071111,10.6133911005
6.623336,0.3636725,20071112,10.7628754822
6.631854,0.3647517,20071113,10.9123598639
6.638087,0.3657894,20071114,10.7628754822
6.63376,0.3667919,20071115,11.360813009
6.629035,0.367756,20071116,10.7628754822
6.618604,0.3686792,20071117,10.0154535737
6.609858,0.3695643,20071118,11.8092661541
6.601337,0.3704972,20071119,11.5102973907
6.594595,0.3714878,20071120,10.4639067188
6.589692,0.3725154,20071121,10.4639067188
6.586531,0.3735598,20071122,8.8195785202
6.585075,0.3746076,20071123,8.8195785202
6.578519,0.3756474,20071124,8.2216409934
6.568993,0.3766955,20071125,9.417516047
6.565295,0.3777093,20071126,10.7628754822
6.564003,0.3786401,20071127,11.2113286273
6.564264,0.3795049,20071128,11.5102973907
6.563859,0.3802549,20071129,11.6597817724
6.566718,0.3809043,20071130,10.0154535737
6.570688,0.3814657,20071201,8.3711253751
6.5741,0.3819292,20071202,10.0154535737
6.580583,0.3823779,20071203,11.0618442456
6.589801,0.3827471,20071204,11.6597817724
6.602814,0.383029,20071205,11.8092661541
6.61781,0.3832552,20071206,11.2113286273
6.6332,0.383434,20071207,10.0154535737
6.642947,0.3835725,20071208,8.6700941385
6.650547,0.3837112,20071209,9.1185472836
6.663073,0.3838404,20071210,11.6597817724
6.673934,0.3839605,20071211,11.360813009
6.682338,0.3839965,20071212,11.5102973907
6.693256,0.383855,20071213,11.0618442456
6.703805,0.3835711,20071214,10.4639067188
6.709012,0.3831748,20071215,8.0721566117
6.710768,0.382647,20071216,9.417516047
6.711082,0.3820338,20071217,10.3144223371
6.712791,0.3813242,20071218,10.3144223371
6.714936,0.38055,20071219,9.8659691921
6.716835,0.3797367,20071220,8.3711253751
6.71339,0.3788998,20071221,7.7731878483
6.707568,0.3780523,20071222,6.8762815581
6.69584,0.377238,20071223,7.3247347032
6.678705,0.3764586,20071224,8.3711253751
6.651461,0.3757784,20071225,7.6237034666
6.621823,0.3752548,20071226,9.2680316653
6.591686,0.3749429,20071227,8.6700941385
6.553063,0.3748057,20071228,9.2680316653
6.496138,0.3748114,20071229,8.6700941385
6.428375,0.3748543,20071230,10.9123598639
6.361187,0.3749269,20071231,9.2680316653
6.28758,0.3751149,20080101,10.3144223371
6.231508,0.3753931,20080102,11.360813009
6.183813,0.3757755,20080103,11.6597817724
6.14721,0.3762384,20080104,11.6597817724
6.117403,0.376762,20080105,10.3144223371
6.087497,0.3772601,20080106,14.7989537881
6.064301,0.3777553,20080107,13.4535943528
6.049344,0.3782062,20080108,13.4535943528
6.04428,0.3786691,20080109,13.6030787345
6.050802,0.3791691,20080110,13.6030787345
6.060957,0.379694,20080111,12.5566880626
6.068564,0.3802339,20080112,11.5102973907
6.071437,0.3808411,20080113,14.0515318796
6.08042,0.3814734,20080114,13.6030787345
6.094507,0.3819845,20080115,13.9020474979
6.113694,0.3824245,20080116,13.3041099711
6.135587,0.382752,20080117,14.0515318796
