SQLDATE,S_Log_All_Crisis_Yes,S_Log_Exchange
03may2009,7.060493,0.2766075
04may2009,7.064662,0.2769567
05may2009,7.070924,0.2773317
06may2009,7.077585,0.2777969
07may2009,7.085189,0.2783924
08may2009,7.091845,0.2790874
09may2009,7.094353,0.2798561
10may2009,7.092098,0.2807698
11may2009,7.090563,0.2818048
12may2009,7.089699,0.2829089
13may2009,7.091562,0.2840548
14may2009,7.095381,0.2851723
15may2009,7.10087,0.2862557
16may2009,7.102713,0.2873006
17may2009,7.101368,0.2882772
18may2009,7.100935,0.2892662
19may2009,7.103458,0.29037
20may2009,7.10686,0.2915842
21may2009,7.112096,0.2930202
22may2009,7.117822,0.2946213
23may2009,7.12033,0.2963404
24may2009,7.118899,0.2981377
25may2009,7.118207,0.2999712
26may2009,7.119285,0.3017668
27may2009,7.119184,0.3035312
28may2009,7.11901,0.3053793
29may2009,7.119115,0.3072768
30may2009,7.116885,0.3091953
31may2009,7.110084,0.3111583
20090601,7.10242,0.3131925
20090602,7.096131,0.3152106
20090603,7.089042,0.3171906
20090604,7.082313,0.31898
20090605,7.078763,0.3205973
20090606,7.071125,0.3220588
20090607,7.06028,0.3233036
20090608,7.052785,0.3244536
20090609,7.04847,0.3254931
20090610,7.048423,0.3265111
20090611,7.050659,0.3274638
20090612,7.055261,0.3283542
20090613,7.059126,0.329185
20090614,7.059899,0.3297754
20090615,7.060101,0.3302331
20090616,7.06463,0.3305584
20090617,7.072434,0.3308654
20090618,7.082479,0.3311687
20090619,7.093754,0.331466
20090620,7.103456,0.3317554
20090621,7.111081,0.3319263
20090622,7.121845,0.3321353
20090623,7.136078,0.3323586
20090624,7.150794,0.332547
20090625,7.167587,0.3327788
20090626,7.179822,0.3330433
20090627,7.181702,0.3333319
20090628,7.17636,0.3336383
20090629,7.167227,0.3339292
20090630,7.157874,0.3343222
20090701,7.147513,0.3346748
20090702,7.135835,0.334972
20090703,7.118716,0.3352214
20090704,7.093064,0.3354294
20090705,7.063951,0.3355639
20090706,7.036885,0.3356569
20090707,7.01454,0.3356342
20090708,6.998781,0.3356427
20090709,6.98652,0.3356048
20090710,6.976818,0.3355299
20090711,6.962254,0.3354256
20090712,6.945018,0.3353323
20090713,6.929349,0.3352473
20090714,6.915377,0.3352733
20090715,6.900287,0.3353882
20090716,6.88179,0.3355774
20090717,6.861858,0.3358249
20090718,6.836627,0.3361173
20090719,6.804591,0.3365072
20090720,6.776221,0.3369617
20090721,6.751504,0.3374809
20090722,6.729131,0.3380796
20090723,6.707753,0.3386995
20090724,6.69549,0.3393303
20090725,6.683539,0.3399636
20090726,6.674129,0.3405921
20090727,6.671657,0.3412123
20090728,6.675135,0.3416908
20090729,6.686105,0.3420732
20090730,6.703019,0.3425243
20090731,6.724207,0.3430265
20090801,6.741354,0.3435651
20090802,6.754959,0.3442232
20090803,6.767406,0.3449605
20090804,6.779188,0.3457482
20090805,6.791483,0.3465454
20090806,6.806013,0.3472181
20090807,6.822807,0.3477833
20090808,6.835421,0.3482557
20090809,6.848689,0.3486222
20090810,6.865513,0.3488977
20090811,6.88309,0.349149
20090812,6.898044,0.349426
20090813,6.911032,0.3496739
20090814,6.923175,0.3498958
20090815,6.930637,0.3500944
20090816,6.932037,0.3501817
20090817,6.930444,0.3501687
20090818,6.92751,0.3502067
20090819,6.926909,0.3502666
20090820,6.927645,0.3503926
20090821,6.929681,0.3505711
20090822,6.927991,0.3507901
20090823,6.926166,0.3510504
20090824,6.92695,0.3513623
20090825,6.929655,0.351629
20090826,6.932058,0.351886
20090827,6.928228,0.3521924
20090828,6.928616,0.3525359
20090829,6.925791,0.3529061
20090830,6.921141,0.3532912
20090831,6.918638,0.3536015
20090901,6.920496,0.3538557
20090902,6.925645,0.3540844
20090903,6.935147,0.3542902
20090904,6.946651,0.3544753
20090905,6.955223,0.3546418
20090906,6.960032,0.3547916
20090907,6.965042,0.3550786
20090908,6.971712,0.3555261
20090909,6.984589,0.3560958
20090910,6.999755,0.3567711
20090911,7.017539,0.3575251
20090912,7.029714,0.3583353
20090913,7.036824,0.3592016
20090914,7.045943,0.3601072
20090915,7.054814,0.361091
20090916,7.066627,0.3621533
20090917,7.081067,0.3632476
20090918,7.097306,0.3643568
20090919,7.109398,0.3654671
20090920,7.115977,0.3665589
20090921,7.122857,0.3676948
20090922,7.130909,0.3688258
20090923,7.140773,0.3699036
20090924,7.152294,0.3709179
20090925,7.164463,0.3718707
20090926,7.170821,0.3727641
20090927,7.173005,0.3735787
20090928,7.175479,0.3742549
20090929,7.179162,0.3748649
20090930,7.182817,0.375348
01oct2009,7.184469,0.3757634
02oct2009,7.186994,0.3761198
03oct2009,7.186979,0.3764247
04oct2009,7.186533,0.376724
05oct2009,7.187372,0.3770817
06oct2009,7.188755,0.3774362
07oct2009,7.192036,0.3778538
08oct2009,7.196811,0.3782764
09oct2009,7.203234,0.3786988
10oct2009,7.205361,0.3791167
11oct2009,7.20292,0.3795269
12oct2009,7.200948,0.3800106
13oct2009,7.202916,0.3805894
14oct2009,7.206548,0.3812703
15oct2009,7.213077,0.3819894
16oct2009,7.207238,0.3827324
17oct2009,7.198074,0.3834873
18oct2009,7.18548,0.3842832
19oct2009,7.178851,0.385076
20oct2009,7.176469,0.3859282
21oct2009,7.175437,0.3868158
22oct2009,7.176293,0.3877406
23oct2009,7.17725,0.3886862
24oct2009,7.172481,0.3896393
25oct2009,7.16312,0.3905301
26oct2009,7.155319,0.391281
27oct2009,7.151054,0.3918718
28oct2009,7.148917,0.3923648
29oct2009,7.148688,0.3927305
30oct2009,7.150006,0.3929894
31oct2009,7.14846,0.3931592
20091101,7.142913,0.3933044
20091102,7.137766,0.3933131
20091103,7.138333,0.3933316
20091104,7.145191,0.3933722
20091105,7.156382,0.3934154
20091106,7.167853,0.3934602
20091107,7.173116,0.3935061
20091108,7.174317,0.393662
20091109,7.175279,0.3938797
20091110,7.177215,0.3941452
20091111,7.181199,0.3943831
20091112,7.1728,0.3946103
20091113,7.148205,0.3948265
